round_index,selected_model,selected_overlap,prior_signal_objective,signal_top7_hits,signal_actual_mass,signal_log_edge,signal_brier_edge,portfolio_max_hits,portfolio_mean_hits,portfolio_ge3,portfolio_ge4,portfolio_score,random_max_hits,random_mean_hits,random_ge3,random_ge4,random_score,score_delta_vs_random
682,signal-g00622-c01-5b0ae9f103,0.65,-0.01898552531012758,0.0,0.1669034925738996,-0.1286212882043931,-0.008727047888897,1.0,0.8,0.0,0.0,1.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.6972143554687498
683,signal-g00622-c01-5b0ae9f103,0.65,-0.02487603661816093,2.0,0.20183981801910514,0.010658438284868677,0.0014749571981483856,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
684,signal-g00622-c01-5b0ae9f103,0.65,-0.02207569060131046,0.0,0.1699567600688022,-0.10827707148988486,-0.008325395019784299,3.0,1.0,1.0,0.0,3.45,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.6727856445312503
685,signal-g00622-c01-5b0ae9f103,0.65,-0.028240922947554307,1.0,0.20763073816026562,0.013085767868449505,0.0030261487535647585,3.0,1.6,1.0,0.0,3.5100000000000002,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7327856445312504
686,signal-g00622-c01-5b0ae9f103,0.65,-0.026868849140925147,2.0,0.1803841190162963,-0.051647598629656954,-0.0054115497457181555,2.0,0.8,0.0,0.0,2.08,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6972143554687498
687,signal-g00622-c01-5b0ae9f103,0.65,-0.029468454358032876,1.0,0.2116772155379056,0.02924922007252828,0.004116317140957809,4.0,1.8,1.0,1.0,5.279999999999999,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.5027856445312495
688,signal-g00622-c01-5b0ae9f103,0.65,-0.028177863688177637,0.0,0.1693190551111797,-0.1143280702106404,-0.00866397265641139,1.0,0.6,0.0,0.0,1.06,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-1.7172143554687498
689,signal-g00622-c01-5b0ae9f103,0.65,-0.03374683678488942,0.0,0.17214600470221023,-0.09954340834737163,-0.007884572849246471,3.0,1.4,1.0,0.0,3.49,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,0.7127856445312504
690,signal-g00622-c01-5b0ae9f103,0.65,-0.03794695946771596,0.0,0.16811718154111815,-0.12278738926913002,-0.008601715847384617,4.0,1.4,1.0,1.0,5.239999999999999,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,2.4627856445312495
691,signal-g00622-c01-5b0ae9f103,0.65,-0.043602276308071015,1.0,0.20988730202415334,0.018255608592595785,0.003775150949126907,2.0,1.6,0.0,0.0,2.16,2.438720703125,1.323779296875,0.438232421875,0.0703125,2.77721435546875,-0.6172143554687497
