round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
194,evo-g00613-c01-ac96dbf10a,3.550000,2.686250,0.863750,3,2.000000,1,0,2.375000,1.300000,0.250000,0.125000
195,evo-g00613-c01-ac96dbf10a,2.140000,2.460000,-0.320000,2,1.400000,0,0,2.250000,1.225000,0.250000,0.000000
196,evo-g00613-c01-ac96dbf10a,5.240000,2.310000,2.930000,4,1.400000,1,1,2.125000,0.975000,0.250000,0.000000
197,evo-g00613-c01-ac96dbf10a,2.120000,2.800000,-0.680000,2,1.200000,0,0,2.500000,1.250000,0.500000,0.000000
198,evo-g00613-c01-ac96dbf10a,2.100000,2.072500,0.027500,2,1.000000,0,0,1.875000,1.100000,0.250000,0.000000
199,evo-g00613-c01-ac96dbf10a,3.510000,2.686250,0.823750,3,1.600000,1,0,2.375000,1.300000,0.250000,0.125000
200,evo-g00613-c01-ac96dbf10a,3.510000,2.416250,1.093750,3,1.600000,1,0,2.125000,1.100000,0.250000,0.125000
201,evo-g00613-c01-ac96dbf10a,2.100000,3.167500,-1.067500,2,1.000000,0,0,2.750000,1.550000,0.750000,0.000000
202,evo-g00613-c01-ac96dbf10a,1.060000,2.325000,-1.265000,1,0.600000,0,0,2.125000,1.125000,0.250000,0.000000
203,evo-g00613-c01-ac96dbf10a,2.140000,2.033750,0.106250,2,1.400000,0,0,1.875000,1.150000,0.125000,0.000000
204,evo-g00613-c01-ac96dbf10a,3.530000,2.455000,1.075000,3,1.800000,1,0,2.250000,1.175000,0.250000,0.000000
205,evo-g00613-c01-ac96dbf10a,3.530000,2.178750,1.351250,3,1.800000,1,0,2.000000,1.350000,0.125000,0.000000
206,evo-g00613-c01-ac96dbf10a,2.180000,2.643750,-0.463750,2,1.800000,0,0,2.375000,1.375000,0.375000,0.000000
207,evo-g00613-c01-ac96dbf10a,2.100000,2.472500,-0.372500,2,1.000000,0,0,2.250000,1.350000,0.250000,0.000000
208,evo-g00613-c01-ac96dbf10a,2.120000,2.018750,0.101250,2,1.200000,0,0,1.875000,1.000000,0.125000,0.000000
209,evo-g00613-c01-ac96dbf10a,3.570000,2.490000,1.080000,3,2.200000,1,0,2.125000,1.400000,0.375000,0.125000
210,evo-g00613-c01-ac96dbf10a,3.510000,2.688750,0.821250,3,1.600000,1,0,2.375000,1.325000,0.250000,0.125000
211,evo-g00613-c01-ac96dbf10a,2.180000,3.043750,-0.863750,2,1.800000,0,0,2.625000,1.500000,0.500000,0.125000
212,evo-g00613-c01-ac96dbf10a,2.100000,2.477500,-0.377500,2,1.000000,0,0,2.250000,1.400000,0.250000,0.000000
213,evo-g00613-c01-ac96dbf10a,2.080000,3.197500,-1.117500,2,0.800000,0,0,2.750000,1.350000,0.625000,0.125000
214,evo-g00613-c01-ac96dbf10a,3.530000,2.506250,1.023750,3,1.800000,1,0,2.250000,1.250000,0.375000,0.000000
215,evo-g00613-c01-ac96dbf10a,3.550000,2.790000,0.760000,3,2.000000,1,0,2.500000,1.150000,0.500000,0.000000
216,evo-g00613-c01-ac96dbf10a,2.180000,2.143750,0.036250,2,1.800000,0,0,2.000000,1.000000,0.125000,0.000000
217,evo-g00613-c01-ac96dbf10a,5.360000,2.021250,3.338750,4,2.600000,1,1,1.875000,1.025000,0.125000,0.000000
218,evo-g00613-c01-ac96dbf10a,2.080000,3.597500,-1.517500,2,0.800000,0,0,3.000000,1.475000,0.750000,0.250000
219,evo-g00613-c01-ac96dbf10a,2.140000,2.293750,-0.153750,2,1.400000,0,0,2.125000,1.250000,0.125000,0.000000
220,evo-g00613-c01-ac96dbf10a,1.080000,2.687500,-1.607500,1,0.800000,0,0,2.375000,1.375000,0.500000,0.000000
221,evo-g00613-c01-ac96dbf10a,3.470000,2.330000,1.140000,3,1.200000,1,0,2.125000,1.175000,0.250000,0.000000
222,evo-g00613-c01-ac96dbf10a,3.490000,2.552500,0.937500,3,1.400000,1,0,2.250000,1.275000,0.500000,0.000000
223,evo-g00613-c01-ac96dbf10a,2.160000,2.716250,-0.556250,2,1.600000,0,0,2.375000,1.225000,0.625000,0.000000
224,evo-g00613-c01-ac96dbf10a,2.080000,3.202500,-1.122500,2,0.800000,0,0,2.750000,1.400000,0.625000,0.125000
225,evo-g00613-c01-ac96dbf10a,2.140000,3.386250,-1.246250,2,1.400000,0,0,2.875000,1.550000,0.750000,0.125000
226,evo-g00613-c01-ac96dbf10a,2.120000,2.342500,-0.222500,2,1.200000,0,0,2.125000,1.300000,0.250000,0.000000
227,evo-g00613-c01-ac96dbf10a,3.510000,2.978750,0.531250,3,1.600000,1,0,2.625000,1.350000,0.625000,0.000000
228,evo-g00613-c01-ac96dbf10a,3.530000,2.628750,0.901250,3,1.800000,1,0,2.375000,1.225000,0.375000,0.000000
229,evo-g00613-c01-ac96dbf10a,3.490000,2.893750,0.596250,3,1.400000,1,0,2.500000,1.250000,0.500000,0.125000
230,evo-g00613-c01-ac96dbf10a,2.060000,2.898750,-0.838750,2,0.600000,0,0,2.500000,1.300000,0.500000,0.125000
231,evo-g00613-c01-ac96dbf10a,2.120000,2.680000,-0.560000,2,1.200000,0,0,2.375000,1.300000,0.500000,0.000000
232,evo-g00613-c01-ac96dbf10a,3.510000,2.810000,0.700000,3,1.600000,1,0,2.500000,1.350000,0.500000,0.000000
233,evo-g00613-c01-ac96dbf10a,3.450000,2.976250,0.473750,3,1.000000,1,0,2.625000,1.325000,0.625000,0.000000
234,evo-g00613-c01-ac96dbf10a,2.140000,2.921250,-0.781250,2,1.400000,0,0,2.500000,1.525000,0.500000,0.125000
235,evo-g00613-c01-ac96dbf10a,3.490000,3.247500,0.242500,3,1.400000,1,0,2.750000,1.350000,0.500000,0.250000
236,evo-g00613-c01-ac96dbf10a,2.100000,2.626250,-0.526250,2,1.000000,0,0,2.375000,1.200000,0.375000,0.000000
237,evo-g00613-c01-ac96dbf10a,5.240000,2.732500,2.507500,4,1.400000,1,1,2.375000,1.325000,0.375000,0.125000
