round_index,model_version,model_score,model_max_hits,model_mean_hits,model_ge3,model_ge4
426,feedback-g00331-c01-2d02d2d61a,3.450000,3,1.000000,1,0
427,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
428,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
429,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
430,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
431,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
432,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
433,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
434,feedback-g00331-c01-2d02d2d61a,3.530000,3,1.800000,1,0
435,feedback-g00331-c01-2d02d2d61a,3.450000,3,1.000000,1,0
436,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
437,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
438,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
439,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
440,feedback-g00331-c01-2d02d2d61a,3.570000,3,2.200000,1,0
441,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
442,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
443,feedback-g00331-c01-2d02d2d61a,2.140000,2,1.400000,0,0
444,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
445,feedback-g00331-c01-2d02d2d61a,5.240000,4,1.400000,1,1
446,feedback-g00331-c01-2d02d2d61a,3.510000,3,1.600000,1,0
447,feedback-g00331-c01-2d02d2d61a,7.260000,6,1.600000,1,1
448,feedback-g00331-c01-2d02d2d61a,1.100000,1,1.000000,0,0
449,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
450,feedback-g00331-c01-2d02d2d61a,2.100000,2,1.000000,0,0
451,feedback-g00331-c01-2d02d2d61a,2.080000,2,0.800000,0,0
452,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
453,feedback-g00331-c01-2d02d2d61a,3.450000,3,1.000000,1,0
454,feedback-g00331-c01-2d02d2d61a,3.490000,3,1.400000,1,0
455,feedback-g00331-c01-2d02d2d61a,3.470000,3,1.200000,1,0
456,feedback-g00331-c01-2d02d2d61a,2.160000,2,1.600000,0,0
