round,draw_date,selected_meta_version,meta_top7_hits,hedge_top7_hits,meta_actual_mass,hedge_actual_mass,meta_mean_log_prob_actual,hedge_mean_log_prob_actual,meta_brier,hedge_brier
第616回,2025-03-07,meta-conservative-bacedfc8a9,0.000000,2.000000,0.181471537776,0.228966951903,-3.657234788252,-3.515508243703,0.118391204712,0.111220598822
第617回,2025-03-14,meta-conservative-bacedfc8a9,2.000000,0.000000,0.201082483954,0.138820652173,-3.552315688105,-3.960345471216,0.112603669913,0.138927776291
第618回,2025-03-21,meta-conservative-bacedfc8a9,2.000000,2.000000,0.192149164218,0.243622479818,-3.613029256182,-3.488023409194,0.115434992545,0.105953146572
第619回,2025-03-28,meta-conservative-bacedfc8a9,0.000000,1.000000,0.187216601867,0.199738794171,-3.624322015706,-3.590599612677,0.116658037253,0.122564116800
第620回,2025-04-04,meta-conservative-bacedfc8a9,0.000000,2.000000,0.176070845862,0.182455589643,-3.687327573692,-3.688816044517,0.119839389486,0.124507727902
第621回,2025-04-11,meta-conservative-bacedfc8a9,1.000000,0.000000,0.188562656343,0.162290833313,-3.615071319151,-3.779391929252,0.116105780112,0.129039310458
第622回,2025-04-18,meta-conservative-bacedfc8a9,0.000000,2.000000,0.184361959157,0.203690046640,-3.638675867159,-3.636919208421,0.117363135345,0.115338041193
第623回,2025-04-25,meta-conservative-bacedfc8a9,1.000000,2.000000,0.190408355382,0.193553665989,-3.605609184000,-3.631896042303,0.115563580384,0.119955476239
第624回,2025-05-02,meta-conservative-bacedfc8a9,0.000000,1.000000,0.185793794544,0.215184536880,-3.630162542756,-3.561158950484,0.116934568714,0.112699070667
第625回,2025-05-09,meta-conservative-bacedfc8a9,1.000000,1.000000,0.191390924768,0.176800329870,-3.600268573671,-3.714492660173,0.115361423594,0.124953206864
第626回,2025-05-16,meta-conservative-bacedfc8a9,0.000000,2.000000,0.187432359953,0.242472550482,-3.623528513211,-3.534773649583,0.116492128512,0.105798211990
第627回,2025-05-23,meta-conservative-bacedfc8a9,1.000000,1.000000,0.188062967547,0.228804545576,-3.623000877165,-3.668806394174,0.116369990056,0.114816642214
第628回,2025-05-30,meta-conservative-bacedfc8a9,0.000000,1.000000,0.191449334333,0.168222140409,-3.599523396566,-3.745158078877,0.115373007171,0.137265618483
第629回,2025-06-06,meta-conservative-bacedfc8a9,1.000000,1.000000,0.185539944577,0.166941002509,-3.634323288268,-3.780841078182,0.117054528442,0.134198864215
第630回,2025-06-13,meta-conservative-bacedfc8a9,4.000000,2.000000,0.201035658802,0.264100852930,-3.551848279406,-3.453151796234,0.112581553726,0.103630151992
第631回,2025-06-20,meta-conservative-bacedfc8a9,0.000000,0.000000,0.174459594859,0.124327636732,-3.695274903597,-4.052771700741,0.120346649624,0.149193689255
第632回,2025-06-27,meta-conservative-bacedfc8a9,2.000000,0.000000,0.189842464639,0.146254701216,-3.609108702542,-3.898307458854,0.115749032838,0.140155466907
第633回,2025-07-04,meta-conservative-bacedfc8a9,0.000000,1.000000,0.179640950137,0.161403493193,-3.664078597727,-3.811626712335,0.118771097717,0.132836604578
第634回,2025-07-11,meta-conservative-bacedfc8a9,0.000000,4.000000,0.183878476181,0.234553073433,-3.641073691399,-3.450935905194,0.117467259961,0.110450848874
第635回,2025-07-18,meta-conservative-bacedfc8a9,3.000000,3.000000,0.202885836969,0.280775554352,-3.542768813743,-3.341941662919,0.112118568640,0.097770228051
第636回,2025-07-25,meta-conservative-bacedfc8a9,2.000000,2.000000,0.196658611676,0.205795657654,-3.586687561900,-3.684374456296,0.114515863543,0.121772112274
第637回,2025-08-01,meta-conservative-bacedfc8a9,1.000000,0.000000,0.188336552074,0.160507234886,-3.617904087095,-3.792052747398,0.116808841125,0.134066868284
第638回,2025-08-08,meta-conservative-bacedfc8a9,0.000000,0.000000,0.180571993750,0.159510234301,-3.662043752800,-3.839282329433,0.118768647991,0.132297114579
第639回,2025-08-15,meta-conservative-bacedfc8a9,2.000000,2.000000,0.193199537406,0.234304025171,-3.593715129804,-3.510150865389,0.114886384122,0.109758736605
第640回,2025-08-22,meta-conservative-bacedfc8a9,4.000000,4.000000,0.204067585511,0.258176293683,-3.545614398213,-3.418759850320,0.112018939864,0.104846520918
第641回,2025-08-29,meta-conservative-bacedfc8a9,1.000000,2.000000,0.186522479966,0.164956022015,-3.632564947185,-3.825610601204,0.117497994833,0.132511215403
第642回,2025-09-05,meta-conservative-bacedfc8a9,1.000000,3.000000,0.194932539976,0.233573287046,-3.588108787675,-3.553882071267,0.114602542585,0.111368783205
第643回,2025-09-12,meta-conservative-bacedfc8a9,2.000000,2.000000,0.193418257927,0.231464553368,-3.603914631546,-3.596429051745,0.115186295044,0.112891120064
第644回,2025-09-19,meta-conservative-bacedfc8a9,3.000000,3.000000,0.199408553954,0.225835078766,-3.566671986102,-3.583284220814,0.113391438202,0.117870372216
第645回,2025-09-26,meta-conservative-bacedfc8a9,2.000000,1.000000,0.188392706337,0.165214250017,-3.624995687760,-3.835839245272,0.116753649254,0.134848065078
第646回,2025-10-03,meta-conservative-bacedfc8a9,1.000000,1.000000,0.182797625655,0.183949045722,-3.651226417555,-3.724143282217,0.118019121091,0.127986478512
第647回,2025-10-10,meta-conservative-bacedfc8a9,1.000000,1.000000,0.181183093147,0.138889678527,-3.658114089163,-3.979426849871,0.118418885860,0.139499840722
第648回,2025-10-17,meta-conservative-bacedfc8a9,0.000000,1.000000,0.186487488151,0.172710835433,-3.625554429834,-3.827934831034,0.116670535137,0.128400796939
第649回,2025-10-24,meta-conservative-bacedfc8a9,1.000000,2.000000,0.186517166976,0.183093720479,-3.626247008760,-3.753788598115,0.116693837403,0.125202936060
第650回,2025-10-31,meta-conservative-bacedfc8a9,3.000000,2.000000,0.197575560860,0.191089302945,-3.569117361216,-3.694090577377,0.113518545081,0.124238536961
第651回,2025-11-07,meta-conservative-bacedfc8a9,2.000000,1.000000,0.187070891538,0.191310655523,-3.625003453143,-3.781588413564,0.116588376637,0.124045305305
第652回,2025-11-14,meta-conservative-bacedfc8a9,4.000000,2.000000,0.203981519679,0.247619970230,-3.537432226075,-3.636791222353,0.111730661918,0.110350836625
第653回,2025-11-21,meta-conservative-bacedfc8a9,1.000000,2.000000,0.195347210581,0.186690100178,-3.583862844728,-3.763521459470,0.114279888454,0.139664710356
第654回,2025-11-28,meta-conservative-bacedfc8a9,1.000000,2.000000,0.191934247977,0.210329506231,-3.598519742817,-3.690589952421,0.115174652895,0.127925000828
第655回,2025-12-05,meta-conservative-bacedfc8a9,3.000000,3.000000,0.200626685896,0.261634336754,-3.556185088121,-3.524682422447,0.112756092597,0.110489454304
第656回,2025-12-12,meta-conservative-bacedfc8a9,0.000000,1.000000,0.182151072990,0.181734049290,-3.651396618279,-3.746803123278,0.118473970863,0.134708218078
第657回,2025-12-19,meta-conservative-bacedfc8a9,0.000000,0.000000,0.175963255809,0.132067652716,-3.684335530951,-4.025207342899,0.119935908216,0.145753692024
