round,draw_date,calibration_version,temperature,uniform_mix,rank_preserved,calibrated_top7_hits,champion_top7_hits,calibrated_actual_mass,champion_actual_mass,calibrated_mean_log_prob_actual,champion_mean_log_prob_actual,calibrated_brier,champion_brier
第673回,2026-04-17,shrink-0p97-2331e361dd,1.000000,0.970000,true,3.000000,3.000000,0.189915146535,0.213387767392,-3.607172996613,-3.577480738229,0.115638216820,0.126157764020
第674回,2026-04-24,shrink-0p93-1209c16b93,1.000000,0.930000,true,4.000000,4.000000,0.199034799517,0.329840765298,-3.562388151029,-3.228937448183,0.113079612042,0.088404713207
第675回,2026-05-01,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.186782497245,0.154807875703,-3.624150101446,-3.907122596698,0.116597624215,0.141955820737
第676回,2026-05-08,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.192540092890,0.237059242062,-3.596900124322,-3.775762841250,0.114943783141,0.116656706415
第677回,2026-05-15,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.190627519121,0.209736759638,-3.604706338737,-3.677429250875,0.115540506597,0.134723090729
第678回,2026-05-22,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.192789290448,0.240619207178,-3.594903931744,-3.635114625595,0.114900652466,0.121367864962
第679回,2026-05-29,shrink-0p93-1209c16b93,1.000000,0.930000,true,4.000000,4.000000,0.202298977930,0.376471885487,-3.549065141249,-3.203342291426,0.112192621944,0.084394251491
第680回,2026-06-05,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.191875030459,0.227558350189,-3.599897262514,-3.752875846859,0.115191316815,0.131109172924
第681回,2026-06-12,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.186266223375,0.147432534705,-3.626610794023,-3.892927545625,0.116806813678,0.156651355602
第682回,2026-06-19,shrink-0p93-1209c16b93,1.000000,0.930000,true,0.000000,0.000000,0.183545487598,0.108564880748,-3.641223082390,-4.177066302477,0.117547930985,0.160361344011
第683回,2026-06-26,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.191492333199,0.222091246470,-3.602790933486,-3.821562937958,0.115276444830,0.127729557657
第684回,2026-07-03,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.185870054624,0.141772981122,-3.628724652138,-3.940984702637,0.116934284305,0.161182565862
第685回,2026-07-10,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.194136090958,0.259859214461,-3.591503567553,-3.749722576515,0.114527082038,0.118162499147
第686回,2026-07-17,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.185613863143,0.138113102810,-3.630199391267,-3.991045793065,0.117019924759,0.164767610200
第687回,2026-07-24,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.195980943083,0.286214244816,-3.583246692920,-3.694458015942,0.114013704273,0.113433070376
第688回,2026-07-31,shrink-0p93-1209c16b93,1.000000,0.930000,true,0.000000,0.000000,0.183640104805,0.109916555130,-3.640731640333,-4.179001927660,0.117615547250,0.179291427380
第689回,2026-08-07,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.186227238942,0.146875614235,-3.626945651281,-3.939310524989,0.116866499369,0.166718084117
第690回,2026-08-14,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.185561955920,0.137371571054,-3.630403495969,-3.973807654026,0.116991694378,0.156191513997
第691回,2026-08-21,shrink-0p93-1209c16b93,1.000000,0.930000,true,1.000000,1.000000,0.193756776912,0.254440442374,-3.592256763533,-3.718052211184,0.114611536478,0.114828882607
第692回,2026-08-28,shrink-0p93-1209c16b93,1.000000,0.930000,true,2.000000,2.000000,0.188133138671,0.174102753214,-3.616859649722,-3.770055670501,0.116277104211,0.149785354932
